Nationality,Players,Total_Goals,Avg_Goals,Total_Assists,Avg_Assists
FRA,25,20,0.8,18,0.72
ENG,26,20,0.77,14,0.54
ARG,25,18,0.72,12,0.48
BEL,25,13,0.52,10,0.4
ESP,26,13,0.5,10,0.38
NOR,26,12,0.46,10,0.38
GER,26,11,0.42,10,0.38
BRA,25,10,0.4,8,0.32
MAR,23,10,0.43,9,0.39
MEX,25,10,0.4,7,0.28
NED,26,10,0.38,10,0.38
SEN,26,10,0.38,9,0.35
SUI,25,10,0.4,6,0.24
USA,26,9,0.35,4,0.15
EGY,25,8,0.32,8,0.32
CAN,26,8,0.31,3,0.12
JPN,24,8,0.33,7,0.29
SWE,26,7,0.27,6,0.23
POR,26,7,0.27,4,0.15
CRO,26,6,0.23,5,0.19
AUT,26,5,0.19,4,0.15
CIV,25,5,0.2,4,0.16
ALG,26,5,0.19,3,0.12
COL,26,5,0.19,5,0.19
COD,26,5,0.19,3,0.12
CPV,25,4,0.16,2,0.08
BIH,25,4,0.16,3,0.12
NZL,25,4,0.16,3,0.12
URU,26,3,0.12,1,0.04
TUR,26,3,0.12,2,0.08
JOR,26,3,0.12,3,0.12
PAR,26,3,0.12,3,0.12
IRN,26,3,0.12,1,0.04
ECU,26,2,0.08,2,0.08
CZE,26,2,0.08,2,0.08
AUS,26,2,0.08,1,0.04
UZB,25,2,0.08,1,0.04
GHA,26,2,0.08,2,0.08
TUN,26,2,0.08,2,0.08
KOR,26,2,0.08,2,0.08
RSA,26,2,0.08,1,0.04
CUW,26,1,0.04,0,0.0
HAI,26,1,0.04,1,0.04
IRQ,26,1,0.04,1,0.04
KSA,26,1,0.04,0,0.0
QAT,26,1,0.04,1,0.04
SCO,26,1,0.04,0,0.0
PAN,26,0,0.0,0,0.0
