Rank,Name,Nationality,Position,Assists
179,Michael Olise,FRA,FW,7
2,Lionel Messi,ARG,FW,4
181,Brahim Diaz,MAR,FW,4
182,Martin Odegaard,NOR,MF,4
1,Kylian Mbappe,FRA,FW,4
180,Bruno Guimaraes,BRA,MF,4
58,Andreas Schjelderup,NOR,MF,3
59,Alexander Isak,SWE,FW,3
60,Anthony Gordon,ENG,FW,3
11,Bukayo Saka,ENG,FW,3
184,Roberto Alvarado,MEX,FW,3
183,Florian Wirtz,GER,MF,3
5,Ousmane Dembele,FRA,FW,2
61,Iliman Ndiaye,SEN,FW,2
62,Nathan Saliba,CAN,MF,2
63,Hans Vanaken,BEL,MF,2
64,Viktor Gyokeres,SWE,FW,2
12,Deniz Undav,GER,FW,2
13,Johan Manzambi,SUI,MF,2
65,Julio Enciso,PAR,FW,2
