Rank,Team,Assists
1,France,18
1,England,14
3,Argentina,12
4,Spain,10
4,Belgium,10
6,Norway,10
7,Germany,10
7,Netherlands,10
10,Morocco,9
10,Senegal,9
10,Brazil,8
16,Egypt,8
16,Japan,7
10,Mexico,7
10,Switzerland,6
19,Sweden,6
22,Colombia,5
20,Croatia,5
7,USA,4
16,Portugal,4
22,Côte d'Ivoire,4
20,Austria,4
15,Canada,3
22,Bosnia and Herzegovina,3
22,Algeria,3
22,Congo DR,3
27,New Zealand,3
29,Paraguay,3
29,Jordan,3
27,Cabo Verde,2
35,Ghana,2
29,Türkiye,2
35,Korea Republic,2
35,Ecuador,2
35,Czechia,2
35,Tunisia,2
29,Uruguay,1
29,Australia,1
35,Qatar,1
29,IR Iran,1
35,Uzbekistan,1
35,Haiti,1
35,South Africa,1
44,Iraq,1
44,Curaçao,0
44,Scotland,0
44,Saudi Arabia,0
48,Panama,0
