Rank,Name,Nationality,Position,Total Distance (m)
552,Rodri,ESP,MF,96233.71
735,Alexis Mac Allister,ARG,MF,90561.77
210,Marc Cucurella,ESP,DF,87986.05
382,Pau Cubarsi,ESP,DF,85956.03
62,Michael Olise,FRA,FW,84499.58
350,Enzo Fernandez,ARG,MF,82828.98
265,Aymeric Laporte,ESP,DF,79572.1
785,Elliot Anderson,ENG,MF,78697.97
390,Harry Kane,ENG,FW,78564.69
828,Remo Freuler,SUI,MF,73750.57
19,Dayot Upamecano,FRA,DF,73611.38
383,Jude Bellingham,ENG,MF,73254.75
866,Granit Xhaka,SUI,MF,72775.82
37,Julian Alvarez,ARG,FW,71340.54
661,Adrien Rabiot,FRA,MF,71263.06
283,Marc Guehi,ENG,DF,70981.57
102,Neil El Aynaoui,MAR,MF,70474.7
312,Jules Kounde,FRA,DF,69981.25
357,Ezri Konsa,ENG,DF,69849.14
658,Brandon Mechele,BEL,DF,68409.01
