Rank,Name,Nationality,Position,Red Cards
75,Nathan Ngoy,BEL,DF,1
115,Tarik Muharemovic,BIH,DF,1
267,Folarin Balogun,USA,FW,1
177,Cesar Montes,MEX,DF,1
376,Miguel Almiron,PAR,MF,1
115,Piero Hincapie,ECU,DF,1
541,Rebin Sulaka,IRQ,DF,1
45,Agustin Canobbio,URU,MF,1
376,Assim Madibo,QAT,MF,1
376,Jarell Quansah,ENG,DF,1
177,Homam Ahmed,QAT,DF,1
115,Sphephelo Sithole,RSA,MF,1
7,Enzo Fernandez,ARG,MF,1
541,Themba Zwane,RSA,MF,1
16,Breel Embolo,SUI,FW,1
9,Ricardo Rodriguez,SUI,DF,0
750,Chemsdine Talbi,MAR,MF,0
1,Neil El Aynaoui,MAR,MF,0
2,Andres Cubas,PAR,MF,0
2,Lamine Yamal,ESP,FW,0
