Rank,Name,Nationality,Position,Goalkeeper Saves
1,Orlando Gill,PAR,GK,28
2,Eloy Room,CUW,GK,21
3,Emiliano Martinez,ARG,GK,20
3,Gregor Kobel,SUI,GK,20
3,Diogo Costa,POR,GK,20
6,Jordan Pickford,ENG,GK,19
6,Yassine Bounou,MAR,GK,19
8,Vozinha,CPV,GK,18
9,Zion Suzuki,JPN,GK,17
9,Mohammed Alowais,KSA,GK,17
9,Orjan Nyland,NOR,GK,17
9,Bart Verbruggen,NED,GK,17
9,Thibaut Courtois,BEL,GK,17
14,Mahmoud Abunada,QAT,GK,16
15,Alireza Beiranvand,IRN,GK,15
15,Lionel Mpasi,COD,GK,15
15,Mike Maignan,FRA,GK,15
15,Alexander Schlager,AUT,GK,15
15,Alisson,BRA,GK,15
20,Mostafa Shoubir,EGY,GK,14
