Rank,Name,Nationality,Position,Goals
1,Kylian Mbappe,FRA,FW,10
2,Lionel Messi,ARG,FW,8
3,Jude Bellingham,ENG,MF,7
4,Erling Haaland,NOR,FW,7
5,Ousmane Dembele,FRA,FW,6
6,Harry Kane,ENG,FW,6
7,Mikel Oyarzabal,ESP,FW,5
8,Ismaila Sarr,SEN,FW,4
9,Julian Quinones,MEX,FW,4
10,Vinicius Junior,BRA,FW,4
11,Bukayo Saka,ENG,FW,3
12,Deniz Undav,GER,FW,3
13,Johan Manzambi,SUI,MF,3
14,Romelu Lukaku,BEL,FW,3
15,Lautaro Martinez,ARG,FW,3
16,Charles De Ketelaere,BEL,FW,3
17,Cody Gakpo,NED,FW,3
18,Bradley Barcola,FRA,FW,3
19,Brian Brobbey,NED,FW,3
20,Elijah Just,NZL,MF,3
