Rank,Name,Nationality,Position,Top Speed (km/h)
1,Kylian Mbappe,FRA,FW,37.61
2,Anthony Elanga,SWE,FW,37.16
3,Micky Van De Ven,NED,DF,36.77
4,Jordan Bos,AUS,DF,36.67
5,Erling Haaland,NOR,FW,36.52
6,Abdukodir Khusanov,UZB,DF,36.46
7,Bradley Barcola,FRA,FW,36.32
8,Djed Spence,ENG,DF,36.22
9,Theo Hernandez,FRA,DF,36.17
10,Nelson Semedo,POR,DF,35.9
11,Anthony Gordon,ENG,FW,35.79
12,Mohamed Toure,AUS,FW,35.77
13,Ryan Gravenberch,NED,MF,35.61
14,Folarin Balogun,USA,FW,35.6
15,Marcus Holmgren Pedersen,NOR,DF,35.59
16,Alan Minda,ECU,MF,35.52
17,Sondre Langas,NOR,DF,35.51
18,Achraf Hakimi,MAR,DF,35.48
19,Dayot Upamecano,FRA,DF,35.39
20,Pedro Neto,POR,FW,35.33
