Rank,Name,Nationality,Position,Sprints
383,Jude Bellingham,ENG,MF,403
62,Michael Olise,FRA,FW,388
210,Marc Cucurella,ESP,DF,363
37,Julian Alvarez,ARG,FW,340
340,Timothy Castagne,BEL,DF,335
350,Enzo Fernandez,ARG,MF,332
312,Jules Kounde,FRA,DF,323
429,Mikel Oyarzabal,ESP,FW,319
552,Rodri,ESP,MF,318
162,Ismael Saibari,MAR,MF,315
364,Martin Odegaard,NOR,MF,302
18,Achraf Hakimi,MAR,DF,296
712,Pedri,ESP,MF,291
435,Rodrigo De Paul,ARG,MF,286
246,Pedro Porro,ESP,DF,283
785,Elliot Anderson,ENG,MF,282
735,Alexis Mac Allister,ARG,MF,277
245,Leandro Trossard,BEL,FW,276
102,Neil El Aynaoui,MAR,MF,276
706,Ousmane Dembele,FRA,FW,274
