Rank,Team,Forced Turnovers
13,Spain,399
13,Argentina,351
13,France,330
3,Switzerland,285
13,England,274
13,Belgium,263
3,Morocco,262
3,Paraguay,249
13,Canada,228
1,Egypt,224
13,USA,220
13,Colombia,194
13,Norway,193
3,Cabo Verde,191
13,Germany,189
13,Portugal,188
13,Brazil,186
13,Algeria,181
13,Mexico,178
13,Côte d'Ivoire,176
13,Ecuador,176
3,Australia,174
13,Congo DR,172
13,Bosnia and Herzegovina,168
13,Senegal,165
13,Netherlands,165
13,South Africa,158
13,Ghana,156
13,Sweden,150
13,Austria,150
13,Croatia,149
13,Panama,147
3,Jordan,139
13,Japan,139
3,Uzbekistan,135
13,Uruguay,133
13,IR Iran,132
3,Saudi Arabia,128
3,Iraq,122
13,Türkiye,121
13,Curaçao,121
13,Czechia,119
13,New Zealand,118
13,Haiti,113
3,Tunisia,109
13,Scotland,107
13,Korea Republic,106
1,Qatar,101
