Rank,Team,Yellow Cards,Red Cards,Fouls For,Fouls Against
37,New Zealand,4,0,23,32
39,Jordan,4,0,23,31
36,IR Iran,6,0,23,35
42,Saudi Arabia,6,0,26,29
22,Austria,5,0,27,47
34,Qatar,4,2,28,36
39,Uruguay,5,1,29,31
25,Uzbekistan,4,0,29,45
33,Czechia,1,0,31,37
37,Curaçao,7,0,31,32
17,Japan,4,0,31,55
45,Iraq,4,1,31,27
48,Korea Republic,4,0,32,25
23,Panama,5,0,33,46
45,Tunisia,1,0,34,27
42,Côte d'Ivoire,4,0,36,29
11,Bosnia and Herzegovina,7,1,37,59
21,Ecuador,8,1,37,49
23,Australia,5,0,38,46
39,Türkiye,2,0,38,31
31,Scotland,5,0,39,42
42,Algeria,3,0,40,29
13,Norway,3,0,41,58
19,Germany,3,0,42,51
17,Haiti,7,0,43,55
27,Netherlands,3,0,43,44
27,Congo DR,6,0,44,44
32,South Africa,5,2,46,38
25,Croatia,4,0,46,45
45,Cabo Verde,5,0,47,27
15,Ghana,6,0,47,56
13,Mexico,4,1,48,58
34,Senegal,3,0,48,36
30,Sweden,5,0,50,43
19,Brazil,8,0,54,51
27,Portugal,7,0,58,44
10,Paraguay,9,1,61,66
9,Colombia,8,0,64,70
15,USA,7,1,64,56
11,Egypt,12,0,67,59
6,Belgium,6,1,68,78
8,Canada,11,0,71,72
4,France,6,0,74,84
7,Morocco,7,0,88,74
3,Switzerland,8,1,89,87
2,Spain,6,0,89,101
1,Argentina,15,1,100,113
5,England,8,1,116,81
