Rank,Team,Goals,Assists
1,England,20,14
1,France,20,18
3,Argentina,19,12
4,Spain,14,10
4,Belgium,14,10
6,Norway,13,10
7,USA,11,4
7,Germany,11,10
7,Netherlands,11,10
10,Senegal,10,9
10,Switzerland,10,6
10,Brazil,10,8
10,Morocco,10,9
10,Mexico,10,7
15,Canada,9,3
16,Portugal,8,4
16,Egypt,8,8
16,Japan,8,7
19,Sweden,7,6
20,Austria,6,4
20,Croatia,6,5
22,Bosnia and Herzegovina,5,3
22,Congo DR,5,3
22,Algeria,5,3
22,Côte d'Ivoire,5,4
22,Colombia,5,5
27,New Zealand,4,3
27,Cabo Verde,4,2
29,Australia,3,1
29,Paraguay,3,3
29,Türkiye,3,2
29,Uruguay,3,1
29,IR Iran,3,1
29,Jordan,3,3
35,Qatar,2,1
35,Ghana,2,2
35,Tunisia,2,2
35,Czechia,2,2
35,Korea Republic,2,2
35,Uzbekistan,2,1
35,Haiti,2,1
35,South Africa,2,1
35,Ecuador,2,2
44,Curaçao,1,0
44,Scotland,1,0
44,Saudi Arabia,1,0
44,Iraq,1,1
48,Panama,0,0
