Rank,Name,Nationality,Position,Yellow Cards
177,Issa Diop,MAR,DF,3
16,Breel Embolo,SUI,FW,2
16,Cristian Romero,ARG,DF,2
45,Lisandro Martinez,ARG,DF,2
45,Caleb Yirenkyi,GHA,MF,2
45,Alan Franco,ECU,MF,2
45,Danilo,BRA,DF,2
29,Marawan Attia,EGY,MF,2
29,Luc De Fougerolles,CAN,DF,2
45,Saeid Ezatolahi,IRN,MF,2
16,Leandro Paredes,ARG,MF,2
376,Noah Sadiki,COD,MF,2
75,Abdukodir Khusanov,UZB,DF,2
376,Sidny Lopes Cabral,CPV,DF,2
75,Yasser Ibrahim,EGY,DF,2
75,Juninho Bacuna,CUW,MF,2
45,Stefan Posch,AUT,DF,2
115,Renato Veiga,POR,DF,2
376,Ahmed Fathy,QAT,MF,2
177,Denis Zakaria,SUI,MF,2
