Rank,Name,Nationality,Position,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv.Rate (%),Attempts Inside Penalty Area,Attempts Outside Penalty Area,Headed Attempts At Goal,xG,xG Efficiency,Corners
1,Michael Olise,FRA,FW,7,5,20,0,10,10,0,2.34,0.0,25
2,Martin Odegaard,NOR,MF,4,3,9,0,5,4,0,0.72,0.0,12
2,Kylian Mbappe,FRA,FW,4,23,41,24,27,14,0,6.54,1.53,5
2,Brahim Diaz,MAR,FW,4,1,6,0,4,2,0,0.31,0.0,1
2,Bruno Guimaraes,BRA,MF,4,2,8,0,5,3,1,1.02,0.0,8
2,Lionel Messi,ARG,FW,4,19,35,23,16,19,0,6.18,1.29,38
7,Roberto Alvarado,MEX,FW,3,0,5,0,2,3,0,0.28,0.0,14
7,Anthony Gordon,ENG,FW,3,4,6,17,6,0,2,0.7,1.43,0
7,Florian Wirtz,GER,MF,3,1,10,0,5,5,0,0.97,0.0,5
7,Andreas Schjelderup,NOR,MF,3,2,3,33,3,0,0,0.2,5.12,0
7,Bukayo Saka,ENG,FW,3,7,13,23,11,2,1,1.72,1.74,5
7,Alexander Isak,SWE,FW,3,6,8,13,5,3,1,0.68,1.48,0
13,Chris Wood,NZL,FW,2,2,5,0,3,2,2,0.47,0.0,0
13,Johan Manzambi,SUI,MF,2,3,6,50,4,2,0,0.63,4.73,0
13,Breel Embolo,SUI,FW,2,5,10,20,8,2,2,2.58,0.78,0
13,Dani Olmo,ESP,FW,2,2,13,0,7,6,2,1.16,0.0,0
13,Marc Cucurella,ESP,DF,2,3,5,0,3,2,1,0.35,0.0,0
13,Viktor Gyokeres,SWE,FW,2,6,12,8,9,3,0,1.39,0.72,0
13,Nicolas Raskin,BEL,MF,2,1,2,0,2,0,1,0.13,0.0,0
13,Patrick Berg,NOR,MF,2,0,3,0,0,3,0,0.29,0.0,10
13,Joshua Kimmich,GER,DF,2,1,5,0,1,4,0,0.15,0.0,15
13,Hans Vanaken,BEL,MF,2,1,5,20,4,1,0,0.64,1.56,0
13,Leandro Trossard,BEL,FW,2,4,17,12,10,7,0,1.67,1.2,0
13,Deniz Undav,GER,FW,2,4,6,50,5,1,0,1.43,2.1,0
13,Crysencio Summerville,NED,FW,2,2,2,100,1,1,0,0.16,12.33,3
13,Ryan Gravenberch,NED,MF,2,0,5,0,2,3,0,0.25,0.0,0
13,Ousmane Dembele,FRA,FW,2,10,20,30,13,7,1,2.1,2.86,17
13,Denzel Dumfries,NED,DF,2,2,5,0,4,1,2,0.44,0.0,0
13,Declan Rice,ENG,MF,2,3,6,17,3,3,1,0.31,3.23,30
13,Houssem Aouar,ALG,MF,2,1,3,0,1,2,0,0.24,0.0,0
13,Julio Enciso,PAR,FW,2,1,8,13,6,2,1,0.74,1.36,2
13,Nathan Saliba,CAN,MF,2,1,3,33,1,2,1,0.3,3.36,0
13,Achraf Hakimi,MAR,DF,2,4,14,7,6,8,0,0.96,1.04,21
13,Hannibal Mejbri,TUN,MF,2,1,3,0,0,3,0,0.06,0.0,4
13,Mohamed Salah,EGY,FW,2,4,9,11,7,2,1,0.95,1.05,15
13,Iliman Ndiaye,SEN,FW,2,2,3,33,2,1,0,0.21,4.76,0
37,Mohamed Hany,EGY,DF,1,0,4,0,0,4,0,0.09,0.0,0
37,Mostafa Zico,EGY,MF,1,3,8,25,7,1,2,1.1,1.82,0
37,Wilfried Singo,CIV,DF,1,0,2,0,2,0,0,0.14,0.0,0
37,Sadio Mane,SEN,FW,1,3,6,0,4,2,0,0.58,0.0,1
37,Ernest Nuamah,GHA,FW,1,0,0,0,0,0,0,0.0,0.0,0
37,Chadi Riad,MAR,DF,1,0,1,0,1,0,1,0.12,0.0,0
37,Promise David,CAN,FW,1,3,5,20,3,2,1,0.75,1.34,0
37,Moussa Niakhate,SEN,DF,1,0,1,0,1,0,1,0.06,0.0,0
37,Jean Kevin Duverne,HAI,DF,1,0,1,0,1,0,0,0.03,0.0,0
