Rank,Name,Nationality,Position,Goalkeeper Saves,Goalkeeper Actions Inside Penalty Area,Goalkeeper Actions Outside Penalty Area
1,Orlando Gill,PAR,GK,28,141,124
2,Eloy Room,CUW,GK,21,81,72
3,Emiliano Martinez,ARG,GK,20,111,97
3,Gregor Kobel,SUI,GK,20,100,88
3,Diogo Costa,POR,GK,20,114,93
6,Jordan Pickford,ENG,GK,19,133,110
6,Yassine Bounou,MAR,GK,19,112,91
8,Vozinha,CPV,GK,18,136,102
9,Zion Suzuki,JPN,GK,17,78,64
9,Mohammed Alowais,KSA,GK,17,86,78
9,Orjan Nyland,NOR,GK,17,107,93
9,Bart Verbruggen,NED,GK,17,57,54
9,Thibaut Courtois,BEL,GK,17,110,90
14,Mahmoud Abunada,QAT,GK,16,124,103
15,Alireza Beiranvand,IRN,GK,15,75,65
15,Lionel Mpasi,COD,GK,15,83,70
15,Mike Maignan,FRA,GK,15,108,86
15,Alexander Schlager,AUT,GK,15,85,74
15,Alisson,BRA,GK,15,67,59
20,Mostafa Shoubir,EGY,GK,14,119,105
20,Ronwen Williams,RSA,GK,14,72,59
20,Patrick Beach,AUS,GK,14,91,76
20,Unai Simon,ESP,GK,14,120,93
24,Johny Placide,HAI,GK,13,56,48
25,Dominik Livakovic,CRO,GK,12,80,68
25,Jacob Widell Zetterstrom,SWE,GK,12,54,46
25,Hernan Galindez,ECU,GK,12,68,63
28,Yahia Fofana,CIV,GK,11,84,68
28,Kim Seunggyu,KOR,GK,11,42,34
28,Max Crocombe,NZL,GK,11,97,88
28,Matej Kovar,CZE,GK,11,60,52
32,Matt Freese,USA,GK,10,58,48
33,Orlando Mosquera,PAN,GK,9,48,42
33,Angus Gunn,SCO,GK,9,75,64
33,Luca Zidane,ALG,GK,9,34,32
36,Yazeed Abulaila,JOR,GK,8,70,56
36,Raul Rangel,MEX,GK,8,57,46
36,Edouard Mendy,SEN,GK,8,34,25
36,Lawrence Ati Zigi,GHA,GK,8,31,30
36,Benjamin Asare,GHA,GK,8,55,47
36,Ugurcan Cakir,TUR,GK,8,55,46
36,Nikola Vasilj,BIH,GK,8,92,70
43,Camilo Vargas,COL,GK,7,57,54
43,Jalal Hassan,IRQ,GK,7,51,45
43,Maxime Crepeau,CAN,GK,7,49,40
43,Manuel Neuer,GER,GK,7,61,45
47,Dean Henderson,ENG,GK,6,26,22
47,Aymen Dahmen,TUN,GK,6,51,44
49,Mory Diaw,SEN,GK,5,53,45
49,Abduvohid Nematov,UZB,GK,5,55,44
49,Egil Selvik,NOR,GK,5,25,22
52,Fernando Muslera,URU,GK,4,41,34
52,Kristoffer Nordfeldt,SWE,GK,4,22,20
54,Ahmed Basil,IRQ,GK,3,43,36
55,Senne Lammens,BEL,GK,2,7,5
56,Mouhib Chamakh,TUN,GK,1,26,20
56,Utkir Yusupov,UZB,GK,1,27,21
58,Lukas Hornicek,CZE,GK,0,0,0
58,Jindrich Stanek,CZE,GK,0,0,0
58,David Raya,ESP,GK,0,0,0
58,Liam Kelly,SCO,GK,0,0,0
58,Alex Paulsen,NZL,GK,0,0,0
58,Mathew Ryan,AUS,GK,0,0,0
58,Altay Bayindir,TUR,GK,0,0,0
58,Yvon Mvogo,SUI,GK,0,0,0
58,Mert Gunok,TUR,GK,0,0,0
58,Viktor Johansson,SWE,GK,0,0,0
58,Joan Garcia,ESP,GK,0,0,0
58,Botirali Ergashev,UZB,GK,0,0,0
58,Paul Izzo,AUS,GK,0,0,0
58,Michael Woud,NZL,GK,0,0,0
58,Marvin Keller,SUI,GK,0,0,0
58,Robin Roefs,NED,GK,0,0,0
58,Sander Tangvik,NOR,GK,0,0,0
58,Oliver Baumann,GER,GK,0,0,0
58,Robin Risser,FRA,GK,0,0,0
58,Dominik Kotarski,CRO,GK,0,0,0
58,Jose Sa,POR,GK,0,0,0
58,James Trafford,ENG,GK,0,0,0
58,Craig Gordon,SCO,GK,0,0,0
58,Florian Wiegele,AUT,GK,0,0,0
58,Ivor Pandur,CRO,GK,0,0,0
58,Mike Penders,BEL,GK,0,0,0
58,Alexander Nuebel,GER,GK,0,0,0
58,Patrick Pentz,AUT,GK,0,0,0
58,Mark Flekken,NED,GK,0,0,0
58,Rui Silva,POR,GK,0,0,0
58,Brice Samba,FRA,GK,0,0,0
58,Meshaal Barsham,QAT,GK,0,0,0
58,Abdallah Alfakhori,JOR,GK,0,0,0
58,Timothy Fayulu,COD,GK,0,0,0
58,Tomoki Hayakawa,JPN,GK,0,0,0
58,Song Bumkeun,KOR,GK,0,0,0
58,Payam Niazmand,IRN,GK,0,0,0
58,Hossein Hosseini,IRN,GK,0,0,0
58,Jo Hyeonwoo,KOR,GK,0,0,0
58,Keisuke Osako,JPN,GK,0,0,0
58,Melvin Mastil,ALG,GK,0,0,0
58,Marcio Rosa,CPV,GK,0,0,0
58,Ahmed Alkassar,KSA,GK,0,0,0
58,Fahad Talib,IRQ,GK,0,0,0
58,Matthieu Epolo,COD,GK,0,0,0
58,Cj Dos Santos,CPV,GK,0,0,0
58,Nour Baniateyah,JOR,GK,0,0,0
58,Oussama Benbot,ALG,GK,0,14,13
58,Nawaf Alaqidi,KSA,GK,0,0,0
58,Salah Zakaria,QAT,GK,0,0,0
58,Trevor Doornbusch,CUW,GK,0,0,0
58,Tyrick Bodak,CUW,GK,0,0,0
58,Martin Zlomislic,BIH,GK,0,0,0
58,Mladen Jurkas,BIH,GK,0,0,0
58,Joseph Anang,GHA,GK,0,0,0
58,Dayne St Clair,CAN,GK,0,0,0
58,Josue Duverger,HAI,GK,0,0,0
58,Ahmed Reda Tagnaouti,MAR,GK,0,0,0
58,Yehvann Diouf,SEN,GK,0,0,0
58,Mohamed Elshenawy,EGY,GK,0,0,0
58,Ricardo Goss,RSA,GK,0,0,0
58,Sipho Chaine,RSA,GK,0,0,0
58,Owen Goodman,CAN,GK,0,0,0
58,Mahdy Soliman,EGY,GK,0,0,0
58,Mohamed Kone,CIV,GK,0,0,0
58,Sabri Ben Hessen,TUN,GK,0,0,0
58,Alexandre Pierre,HAI,GK,0,0,0
58,Alban Lafont,CIV,GK,0,0,0
58,Munir El Kajoui,MAR,GK,0,0,0
58,Mohamed Alaa,EGY,GK,0,0,0
58,Gatito Fernandez,PAR,GK,0,0,0
58,Moises Ramirez,ECU,GK,0,0,0
58,Matt Turner,USA,GK,0,21,17
58,Gonzalo Valle,ECU,GK,0,0,0
58,Chris Brady,USA,GK,0,0,0
58,Cesar Samudio,PAN,GK,0,0,0
58,Santiago Mele,URU,GK,0,0,0
58,Ederson,BRA,GK,0,0,0
58,Carlos Acevedo,MEX,GK,0,0,0
58,Luis Mejia,PAN,GK,0,0,0
58,Alvaro Montero,COL,GK,0,0,0
58,Juan Musso,ARG,GK,0,0,0
58,Guillermo Ochoa,MEX,GK,0,3,3
58,Geronimo Rulli,ARG,GK,0,0,0
58,Sergio Rochet,URU,GK,0,7,5
58,Weverton,BRA,GK,0,0,0
58,David Ospina,COL,GK,0,0,0
58,Gaston Olveira,PAR,GK,0,0,0
