Rank,Team,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides
1,Argentina,113,100,15,1,1,22
2,Spain,101,89,6,0,0,21
3,Switzerland,87,89,8,1,1,13
4,France,84,74,6,0,0,14
5,England,81,116,8,1,0,15
6,Belgium,78,68,6,1,0,8
7,Morocco,74,88,7,0,0,9
8,Canada,72,71,11,0,0,7
9,Colombia,70,64,8,0,0,19
10,Paraguay,66,61,9,1,0,5
11,Bosnia and Herzegovina,59,37,7,1,0,2
11,Egypt,59,67,12,0,0,4
13,Norway,58,41,3,0,0,5
13,Mexico,58,48,4,1,0,5
15,USA,56,64,7,1,0,11
15,Ghana,56,47,6,0,0,8
17,Japan,55,31,4,0,0,4
17,Haiti,55,43,7,0,0,7
19,Brazil,51,54,8,0,0,11
19,Germany,51,42,3,0,0,4
21,Ecuador,49,37,8,1,0,2
22,Austria,47,27,5,0,0,11
23,Australia,46,38,5,0,0,1
23,Panama,46,33,5,0,0,6
25,Croatia,45,46,4,0,0,8
25,Uzbekistan,45,29,4,0,0,3
27,Netherlands,44,43,3,0,0,8
27,Portugal,44,58,7,0,0,10
27,Congo DR,44,44,6,0,0,9
30,Sweden,43,50,5,0,0,9
31,Scotland,42,39,5,0,0,2
32,South Africa,38,46,5,2,0,8
33,Czechia,37,31,1,0,0,5
34,Qatar,36,28,4,2,0,4
34,Senegal,36,48,3,0,0,10
36,IR Iran,35,23,6,0,0,9
37,Curaçao,32,31,7,0,0,5
37,New Zealand,32,23,4,0,0,4
39,Uruguay,31,29,5,1,0,14
39,Türkiye,31,38,2,0,0,7
39,Jordan,31,23,4,0,0,3
42,Saudi Arabia,29,26,6,0,0,3
42,Algeria,29,40,3,0,0,4
42,Côte d'Ivoire,29,36,4,0,0,4
45,Cabo Verde,27,47,5,0,0,7
45,Iraq,27,31,4,1,0,1
45,Tunisia,27,34,1,0,0,9
48,Korea Republic,25,32,4,0,0,8
