Rank,Team,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempts,Defensive Linebreaks Accuracy (%),Switches Of Play Attempts,Switches Of Play Accuracy (%)
1,Spain,5470,4945,90,178,20,74,206,66,53
2,Argentina,5248,4699,90,111,32,58,138,57,39
3,France,4318,3864,89,129,16,87,170,66,41
4,England,4014,3577,89,175,27,85,207,66,48
5,Morocco,3665,3240,88,99,24,66,110,52,26
6,Switzerland,3231,2798,87,122,16,40,152,47,34
7,Norway,3114,2727,88,87,29,45,95,42,16
8,Belgium,3081,2653,86,133,28,68,138,51,30
9,Portugal,2946,2654,90,94,27,58,123,54,42
10,Colombia,2789,2437,87,82,27,33,98,43,56
11,Brazil,2742,2462,90,89,24,44,107,55,24
12,Germany,2721,2436,90,108,22,44,81,56,14
13,Egypt,2654,2304,87,83,20,40,112,53,41
14,Algeria,2641,2382,90,39,21,48,76,55,30
15,USA,2606,2254,86,90,26,65,140,60,27
16,Senegal,2248,1978,88,90,28,38,98,57,31
17,Mexico,2175,1902,87,91,26,27,89,42,28
18,Canada,2098,1722,82,158,24,32,119,55,18
19,Netherlands,2039,1797,88,79,27,29,78,60,11
20,Ecuador,1985,1717,86,88,25,42,93,44,10
21,Côte d'Ivoire,1970,1727,88,78,24,52,85,53,13
22,Croatia,1901,1661,87,66,21,34,77,51,22
23,South Africa,1855,1573,85,36,17,21,63,41,27
24,Korea Republic,1853,1650,89,64,28,23,65,60,21
25,Türkiye,1844,1610,87,84,14,37,75,60,30
26,Austria,1827,1561,85,62,23,15,72,58,8
27,Japan,1733,1497,86,62,26,24,74,47,12
28,Australia,1647,1336,81,70,27,39,76,47,21
29,Bosnia and Herzegovina,1618,1317,81,59,17,32,53,43,17
30,Sweden,1569,1293,82,62,19,28,75,45,13
31,Cabo Verde,1555,1272,82,51,27,40,58,34,22
32,Congo DR,1470,1195,81,64,22,25,70,36,18
33,Uruguay,1445,1251,87,87,21,20,74,64,19
34,Ghana,1397,1172,84,48,21,31,61,43,23
35,Scotland,1377,1193,87,53,34,13,45,40,17
36,Paraguay,1360,945,69,47,17,30,71,25,18
37,New Zealand,1335,1112,83,37,19,22,54,22,8
38,Panama,1259,1039,83,58,21,25,54,43,27
39,Saudi Arabia,1175,922,78,22,23,19,53,40,12
40,Iraq,1129,917,81,24,29,22,48,44,14
41,Czechia,1102,872,79,50,32,19,45,38,12
42,Haiti,1098,928,85,42,24,22,42,40,13
43,Uzbekistan,1059,828,78,34,18,26,51,27,17
44,IR Iran,1051,814,77,40,23,19,50,46,14
45,Tunisia,1011,812,80,35,23,11,40,38,21
46,Curaçao,968,770,80,21,29,31,40,40,7
47,Jordan,914,694,76,31,32,33,52,52,11
48,Qatar,912,708,78,28,36,12,71,27,11
