Rank,Team,Own Goals,Goals Conceded,Forced Turnovers,Ball Recovery Time (s),Defensive Pressure Applied,Defensive Pressure Directly Applied
1,Qatar,2,10,101,60.48,832,122
1,Egypt,2,7,224,82.81,1360,238
3,Uzbekistan,1,11,135,50.0,944,142
3,Iraq,1,12,122,61.26,851,155
3,Switzerland,1,6,285,84.65,1581,281
3,Jordan,1,8,139,68.21,1148,166
3,Cabo Verde,1,5,191,76.43,1252,166
3,Saudi Arabia,1,5,128,53.18,1035,140
3,Paraguay,1,6,249,88.79,1689,331
3,Morocco,1,6,262,82.47,1436,301
3,Tunisia,1,12,109,69.13,802,131
3,Australia,1,3,174,74.09,1229,162
13,Canada,0,6,228,66.43,1183,228
13,Portugal,0,3,188,81.25,1282,161
13,IR Iran,0,3,132,47.85,874,148
13,England,0,12,274,127.95,1931,338
13,Croatia,0,7,149,70.2,1011,174
13,USA,0,8,220,65.83,1076,216
13,Argentina,0,8,351,128.75,2054,349
13,Japan,0,5,139,80.59,1118,191
13,Sweden,0,10,150,72.94,859,150
13,Uruguay,0,4,133,40.21,745,130
13,Algeria,0,9,181,60.22,1015,152
13,Bosnia and Herzegovina,0,8,168,53.83,998,157
13,Côte d'Ivoire,0,4,176,70.71,1123,188
13,Netherlands,0,5,165,65.67,939,143
13,Curaçao,0,9,121,56.6,983,160
13,Austria,0,9,150,83.93,1220,209
13,South Africa,0,4,158,73.07,1081,166
13,Czechia,0,6,119,56.67,857,121
13,Senegal,0,9,165,68.01,1055,170
13,Scotland,0,4,107,70.31,775,109
13,Panama,0,4,147,46.44,753,175
13,Brazil,0,4,186,96.34,1338,214
13,Belgium,0,7,263,91.79,1582,227
13,Colombia,0,1,194,71.88,1088,191
13,Spain,0,1,399,90.89,1941,292
13,France,0,10,330,123.18,1972,343
13,Germany,0,5,189,49.48,915,187
13,Korea Republic,0,3,106,44.64,563,86
13,New Zealand,0,10,118,47.94,844,140
13,Norway,0,11,193,99.36,1419,231
13,Haiti,0,8,113,49.18,810,143
13,Mexico,0,3,178,73.86,1065,177
13,Ghana,0,3,156,89.73,1160,183
13,Türkiye,0,5,121,29.94,490,123
13,Ecuador,0,4,176,53.67,925,205
13,Congo DR,0,5,172,85.2,1234,179
