Rank,Team,Clean Sheets,Goals Conceded,Goalkeeper Saves,Goalkeeper Actions Inside Penalty Area,Goalkeeper Actions Outside Penalty Area
1,Spain,7,1,14,120,93
2,France,4,10,15,108,86
2,Colombia,4,1,7,57,54
2,Mexico,4,3,8,60,49
5,Argentina,2,8,20,111,97
5,Morocco,2,6,19,112,91
5,England,2,12,25,159,132
5,Brazil,2,4,15,67,59
5,Côte d'Ivoire,2,4,11,84,68
5,Paraguay,2,6,28,141,124
5,Switzerland,2,6,20,100,88
5,USA,2,8,10,79,65
5,Canada,2,6,7,49,40
5,Cabo Verde,2,5,18,136,102
5,Ghana,2,3,16,86,77
5,Australia,2,3,14,91,76
5,Portugal,2,3,20,114,93
18,Ecuador,1,4,12,68,63
18,Curaçao,1,9,21,81,72
18,Scotland,1,4,9,75,64
18,Japan,1,5,17,78,64
18,Belgium,1,7,19,117,95
18,Croatia,1,7,12,80,68
18,South Africa,1,4,14,72,59
18,Senegal,1,9,13,87,70
18,Saudi Arabia,1,5,17,86,78
18,IR Iran,1,3,15,75,65
28,Haiti,0,8,13,56,48
28,Türkiye,0,5,8,55,46
28,Uzbekistan,0,11,6,82,65
28,Panama,0,4,9,48,42
28,Korea Republic,0,3,11,42,34
28,Germany,0,5,7,61,45
28,Netherlands,0,5,17,57,54
28,Austria,0,9,15,85,74
28,Iraq,0,12,10,94,81
28,Algeria,0,9,9,48,45
28,New Zealand,0,10,11,97,88
28,Uruguay,0,4,4,48,39
28,Czechia,0,6,11,60,52
28,Norway,0,11,22,132,115
28,Qatar,0,10,16,124,103
28,Egypt,0,7,14,119,105
28,Tunisia,0,12,7,77,64
28,Congo DR,0,5,15,83,70
28,Bosnia and Herzegovina,0,8,8,92,70
28,Jordan,0,8,8,70,56
28,Sweden,0,10,16,76,66
