Rank,Team,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Between,Receptions Between Midfield And Defensive Line,Receptions Under Pressure
1,Spain,4036,1134,1543,1359,2367,1669,124,1168,1782
2,Argentina,3283,829,1166,1288,1762,1521,79,873,1614
3,England,3219,796,1099,1324,1837,1382,126,716,1357
4,France,2689,792,900,997,1496,1193,113,900,1405
5,Morocco,2397,679,865,853,1358,1039,61,589,1280
6,Belgium,2261,739,806,716,1245,1016,67,676,1092
7,Colombia,2159,618,848,693,1018,1141,52,511,906
8,Norway,2140,455,946,739,1120,1020,44,674,1123
9,Switzerland,2111,590,829,692,1233,878,76,627,1120
10,Mexico,2034,541,844,649,1076,958,40,505,834
11,Egypt,1963,437,745,781,929,1034,51,451,869
12,Brazil,1952,501,746,705,1112,840,55,462,828
13,USA,1913,550,738,625,1040,873,78,525,993
14,Portugal,1881,553,759,569,1021,860,63,579,988
15,Algeria,1621,477,637,507,905,716,38,379,888
16,Germany,1591,440,631,520,849,742,45,550,942
17,Canada,1589,533,576,480,790,799,72,540,929
18,Senegal,1486,462,526,498,866,620,54,460,988
19,Japan,1479,392,576,511,872,607,33,324,574
20,Ecuador,1308,320,514,474,699,609,39,422,713
21,Türkiye,1275,409,428,438,681,594,41,378,709
22,Cabo Verde,1243,323,559,361,624,619,19,291,663
23,Croatia,1238,402,442,394,682,556,33,323,645
24,Congo DR,1237,342,542,353,730,507,22,323,636
25,Austria,1234,323,486,425,686,548,48,382,789
26,South Africa,1212,359,458,395,669,543,29,283,634
27,Korea Republic,1201,267,427,507,657,544,40,274,678
28,Netherlands,1195,409,376,410,713,482,47,380,642
29,Uruguay,1182,436,399,347,599,583,45,311,586
30,Côte d'Ivoire,1112,326,480,306,589,523,46,424,861
31,Sweden,1065,285,427,353,611,454,35,338,620
32,New Zealand,1062,263,471,328,559,503,14,267,563
33,Scotland,1040,231,400,409,558,482,15,230,430
34,Australia,1039,245,465,329,546,493,39,360,839
35,Tunisia,1000,287,448,265,547,453,18,196,405
36,Bosnia and Herzegovina,986,286,356,344,497,489,22,257,676
37,Iraq,955,300,391,264,548,407,22,172,430
38,Panama,889,239,366,284,418,471,28,248,532
39,Haiti,834,252,350,232,429,405,13,212,407
40,Uzbekistan,801,197,382,222,456,345,16,246,458
41,Ghana,772,277,242,253,397,375,26,235,494
42,IR Iran,761,227,264,270,356,405,28,229,446
43,Jordan,741,210,323,208,351,390,27,186,465
44,Czechia,740,232,305,203,371,369,19,245,439
45,Paraguay,734,187,296,251,371,363,20,258,646
46,Saudi Arabia,707,207,276,224,386,321,24,244,523
47,Qatar,643,169,285,189,347,296,22,146,361
48,Curaçao,621,189,289,143,346,275,17,228,524
