Rank,Team,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
1,Czechia,6.33,4330,1381,348826.43
2,Germany,6.29,5991,1990,508926.8
3,Belgium,6.24,8583,3002,739536.58
4,USA,6.23,7252,2446,594895.11
5,New Zealand,6.22,4280,1492,349040.82
6,Scotland,6.21,3766,1251,348567.52
7,Australia,6.13,5728,1900,494019.02
8,Jordan,6.13,4296,1363,347325.19
9,Norway,6.13,7992,2761,733932.11
10,Canada,6.1,6943,2560,570460.28
11,Türkiye,6.1,3548,1289,350818.34
12,Tunisia,6.09,3503,1213,333260.77
13,Korea Republic,6.09,3553,1298,334954.79
14,Iraq,6.09,3746,1209,328508.46
15,IR Iran,6.08,4061,1347,344366.12
16,Panama,6.04,3745,1372,336713.09
17,Spain,6.04,10382,3645,947574.41
18,Bosnia and Herzegovina,6.04,4863,1756,453585.0
19,Egypt,6.04,6907,2437,605207.25
20,Japan,6.02,4678,1669,446744.57
21,Saudi Arabia,6.02,4110,1450,338484.3
22,Mexico,6.01,6354,2190,563844.44
23,Algeria,6.0,4980,1703,443965.4
24,Austria,5.99,5100,1776,451914.58
25,Sweden,5.99,4426,1586,439790.02
26,Croatia,5.98,5022,1827,452321.82
27,Switzerland,5.97,8333,2741,728266.23
28,Congo DR,5.96,4983,1780,447455.88
29,Haiti,5.96,3975,1376,334085.63
30,France,5.93,9253,3318,879396.52
31,Uzbekistan,5.9,3793,1354,337440.01
32,Paraguay,5.9,6191,2141,592560.41
33,South Africa,5.9,5039,1884,429068.84
34,Brazil,5.88,6080,2110,561314.06
35,England,5.88,9699,3537,918867.71
36,Uruguay,5.88,3668,1448,337450.99
37,Morocco,5.87,7445,2861,697958.1
38,Cabo Verde,5.87,4778,1681,476431.33
39,Senegal,5.86,5363,2010,492777.45
40,Portugal,5.83,5836,2134,553476.36
41,Côte d'Ivoire,5.81,4657,1692,434938.12
42,Netherlands,5.77,4601,1590,455769.39
43,Ghana,5.76,4489,1672,436806.59
44,Curaçao,5.74,3093,1230,315767.46
45,Ecuador,5.72,4598,1793,426982.84
46,Qatar,5.64,3584,1080,310036.75
47,Colombia,5.63,5978,2088,559976.76
48,Argentina,5.61,9631,3370,955124.09
